"","player","ROI","salary","gp","PVWL","position","Z_val"
"35","Jonathan Kuminga",0.0505565109898085,5739840,67,2.68713805925201,"PF",0.177267429368396
"38","Paolo Banchero",-0.0105725867829288,11055120,72,3.09383495797984,"PF",-0.644764155803671
"44","Bol Bol",0.0749551977164562,2200000,70,3.77931988198759,"PF",0.505367987969602
"48","Bojan Bogdanovic",-0.0405227927239589,19550000,58,2.14982350556413,"PF",-1.04751859130125
"56","Kyle Kuzma",-0.0315736661750328,1.3e+07,64,2.36786534347103,"PF",-0.927175498552377
"60","Rui Hachimura",0.0307897117920499,6263188,63,3.09515060908896,"PF",-0.088545969983921
"62","Anthony Gill",0.0736090603232191,1836090,59,2.43337957332177,"PF",0.487265848472369
"72","Oshae Brissett",0.0409395094564415,1846738,65,3.11699951577388,"PF",0.0479431091491368
"75","Jabari Smith Jr.",-0.00905036027419293,8882640,79,2.91963287910254,"PF",-0.624294063563488
"79","Tari Eason",0.0322358384897006,3359160,82,4.52079941842676,"PF",-0.0690992275168724
"84","John Collins",-0.00955895135850859,23500000,71,4.09911087055517,"PF",-0.631133325886624
"94","Herbert Jones",0.0543038331518795,1785000,66,2.83419887546187,"PF",0.227659424167499
"102","Kevin Durant",-0.00843909662344744,44119845,47,4.54341285217142,"PF",-0.616074115190482
"112","Patrick Williams",0.00728274800354156,7775400,81,3.05168734924122,"PF",-0.404655112924157
"119","Jimmy Butler",0.0022449671911744,37653300,64,6.7002337152839,"PF",-0.472400509107422
"127","Haywood Highsmith",0.0743181456624171,1752638,54,2.25218687075511,"PF",0.496801250868954
"129","Evan Mobley",0.0336752379299399,8478720,79,6.38524155604599,"PF",-0.049742949628482
"134","Kevin Love",-0.0104422269361862,30556968,62,4.38638946688447,"PF",-0.643011145938238
"135","Dean Wade",0.0688383328405477,1930681,44,1.98269392448187,"PF",0.423111643390132
"140","Pascal Siakam",-0.0219922410530213,35448672,71,4.46594329697091,"PF",-0.798329590985797
"145","Thaddeus Young",-0.00827525370916204,8e+06,54,2.68438322910766,"PF",-0.613870842846271
"146","Juancho Hernangomez",0.0257292690328061,2298385,42,1.63309321379441,"PF",-0.156596111972258
"148","Julius Randle",0.0113205691932978,23760000,77,5.70383633211584,"PF",-0.350356641750957
"153","Obi Toppin",0.0334607095859976,5348280,67,2.87613621574049,"PF",-0.0526278126652447
"155","Santi Aldama",0.532122691303778,2094120,77,3.94535817948204,"PF",6.65311322117884
"159","Brandon Clarke",0.101507414457134,4343919,56,4.62820000331141,"PF",0.862428072486441
"161","David Roddy",0.0664668716406909,2588640,70,1.97096315437009,"PF",0.391221494830443
"164","Kenrich Williams",0.0676058778999493,2e+06,53,3.28027934450361,"PF",0.406538245035068
"165","Josh Giddey",-0.00134752849676256,6287400,76,3.36751804701772,"PF",-0.520710479852576
"168","Jeremiah Robinson-Earl",0.052114588591992,2e+06,43,2.01836893765391,"PF",0.198219628039897
"177","Kyle Anderson",0.0212512030634961,8780488,68,4.07456899117251,"PF",-0.216814760723503
"180","Taurean Prince",-0.000527003613748467,7295000,53,1.54248331220097,"PF",-0.509676497758406
"183","P.J. Washington",0.00346062464358066,5808435,73,2.48904419497749,"PF",-0.456052994437028
"190","JT Thor",0.0338585772328177,1563518,69,2.33703434031465,"PF",-0.0472775002228767
"196","Jeremy Sochan",-0.0157472090511745,5063520,55,1.56279582599549,"PF",-0.714349723083707
"202","Keita Bates-Diop",0.0381118450688713,1878720,64,3.1100600640364,"PF",0.00991818282860485
"204","Aaron Gordon",0.0155966081061705,19690909,68,5.14679711872792,"PF",-0.292854745372996
"211","Jeff Green",0.0671351487931542,4500000,56,2.12085448213417,"PF",0.40020813044244
"214","Vlatko Cancar",0.0654766798867159,2234359,60,2.48535392291401,"PF",0.377905922921129
"215","Zeke Nnaji",0.075341121296959,2617800,53,2.36208267160597,"PF",0.510557682962573
"216","Lauri Markkanen",-0.00562607297117412,16475454,66,6.43176255764627,"PF",-0.578246069689112
"218","Jarred Vanderbilt",0.0460809689994059,4374000,78,5.65073797650325,"PF",0.1170827217427
"222","Rudy Gay",-0.0113372342010876,6184500,56,2.10663525231489,"PF",-0.655046727478189
"228","Dorian Finney-Smith",0.00945408792438074,12939848,66,2.18171054971063,"PF",-0.375456088856917
