"","player","GP","PVWS","WSpg","position","Z_val"
"457","A.J. Lawson",15,0.248424770024566,0.0165616513349711,"SG",-0.967778284602936
"460","Keon Ellis",16,0.183802381945437,0.0114876488715898,"SG",-1.01221122532405
"462","Gary Harris",48,1.63206886254056,0.0340014346362617,"SG",-0.0164148675375645
"469","Kendall Brown",6,0.0719501331083753,0.0119916888513959,"SG",-1.089118385363
"477","Bogdan Bogdanovic",54,2.55483848156161,0.0473118237326224,"SG",0.618061341094699
"480","Trevelin Queen",7,0.0678125426059763,0.00968750608656805,"SG",-1.09196330210139
"481","Victor Oladipo",42,1.24559778203319,0.0296570900484092,"SG",-0.282143930189701
"483","Alondes Williams",1,-0.0081699103408476,-0.0081699103408476,"SG",-1.14420717497556
"490","Gary Payton II",22,0.888826729690257,0.0404012149859208,"SG",-0.527451903029584
"494","Jared Rhoden",14,0.272723959719208,0.0194802828370863,"SG",-0.951070693203634
"498","Danny Green",11,0.188361055103636,0.0171237322821488,"SG",-1.0090767813608
"505","Stanley Umude",1,0.0160240086898446,0.0160240086898446,"SG",-1.12757196538247
"511","Johnny Juzang",18,0.231979678678921,0.0128877599266067,"SG",-0.979085569750301
"514","Sam Merrill",5,0.148669480702851,0.0297338961405701,"SG",-1.03636783984534
"522","Xavier Moon",4,0.02780515621334,0.00695128905333501,"SG",-1.11947150600457
"525","Kobi Simmons",5,0.0559261244185307,0.0111852248837061,"SG",-1.10013614328551
"526","Lester Quinones",4,0.0318374760517887,0.00795936901294718,"SG",-1.11669897107239
"528","Shaquille Harrison",4,0.261679706843364,0.0654199267108411,"SG",-0.958664479938047
"529","Nate Williams",4,0.160871710882147,0.0402179277205367,"SG",-1.02797785324258
"530","Jay Scrubb",2,0.0844681752795222,0.0422340876397611,"SG",-1.0805112533416
"532","Donovan Williams",2,0.0159187380258944,0.00795936901294718,"SG",-1.12764434718869
"534","Gabe York",3,0.0924275442924694,0.0308091814308231,"SG",-1.07503856528345
"535","Mac McClung",2,0.108662094310214,0.0543310471551072,"SG",-1.06387604374851
"1","Tobias Harris",74,5.26648431955858,0.0711687070210619,"SF",1.77001718826281
"8","Danuel House Jr.",56,1.14734831661512,0.0204883627966985,"SF",-0.504782841186927
"11","Jaylen Brown",67,5.17447785792191,0.0772310128048046,"SF",1.71920645963159
"12","Jayson Tatum",74,8.23830404049527,0.111328432979666,"SF",3.4112098033829
"20","Sam Hauser",80,2.79000831476738,0.0348751039345922,"SF",0.402379002826593
"28","Juan Toscano-Anderson",52,1.0388967636328,0.0199787839160154,"SF",-0.564675400146316
"30","Matt Ryan",33,0.351370213873128,0.0106475822385796,"SF",-0.94436313430299
"31","Cole Swider",7,0.0879741417982198,0.0125677345426028,"SF",-1.08982407370504
"34","Andrew Wiggins",36,2.15350136966784,0.0598194824907735,"SF",0.0508669341736724
"37","Klay Thompson",68,3.69854352638574,0.0543903459762608,"SF",0.90411915529272
"47","Franz Wagner",80,4.37471001127772,0.0546838751409714,"SF",1.27753327384721
"51","Caleb Houstan",51,0.861579961405009,0.0168937247334315,"SF",-0.662598912902749
"54","Chuma Okeke",27,0.892332696208955,0.0330493591188502,"SF",-0.645615661563709
"56","Saddiq Bey",76,4.01625462831158,0.0528454556356787,"SF",1.0795756644978
"63","Kevin Knox II",62,1.63059507324526,0.0262999205362138,"SF",-0.237908978457411
"65","Hamidou Diallo",55,1.93778827561501,0.0352325141020911,"SF",-0.0682609975948912
"66","Deni Avdija",76,4.16948278217263,0.0548616155549031,"SF",1.16419617925297
"76","Buddy Hield",80,5.491662606528,0.0686457825816001,"SF",1.8943722892994
"79","Chris Duarte",46,0.95484967100908,0.0207576015436757,"SF",-0.611090553382088
"85","Aaron Nesmith",73,2.5649352984619,0.0351360999789302,"SF",0.278082037697456
"92","KJ Martin",82,5.26564215424698,0.0642151482225241,"SF",1.76955210100318
"97","De'Andre Hunter",67,2.65427795889148,0.0396160889386787,"SF",0.327421677474118
"102","Jalen Johnson",70,2.81525494043757,0.0402179277205367,"SF",0.416321495809836
"105","Justin Holiday",46,0.543553047487313,0.0118163705975503,"SF",-0.838229829830187
"106","Brandon Ingram",45,3.02756733863566,0.0672792741919035,"SF",0.533571387371667
"112","Trey Murphy III",79,4.84256438320171,0.0612982833316673,"SF",1.53590666532309
"115","Naji Marshall",77,2.887099802882,0.0374948026348311,"SF",0.455997946183799
