"","player","ROI","salary","gp","PVGS","position","Z_val"
"134","Isaac Okoro",0.0021655775153604,7040880,76,2.11397317999722,"SF",-0.520065978346575
"137","Cedi Osman",0.00534828516382468,7426088,77,2.43177529228762,"SF",-0.447845262823624
"139","OG Anunoby",-0.000660595561121413,17357143,67,4.73682885839805,"SF",-0.584196355471758
"140","Scottie Barnes",0.0229520672179626,7644600,77,5.74991056539472,"SF",-0.0483873558200131
"158","John Konchar",0.165735162489663,2300000,72,2.02173367632003,"SF",3.19158892980572
"164","Luguentz Dort",-0.0122158594785597,15277778,74,3.7188295137391,"SF",-0.846403733700986
"174","Jaden McDaniels",0.0733650427381431,2161440,78,3.87939767007781,"SF",1.0955635079878
"183","Gordon Hayward",-0.0267643711250678,30075000,50,3.18337371606061,"SF",-1.17653267954111
"186","Kelly Oubre Jr.",-0.0177239015905047,12600000,48,3.48399190777195,"SF",-0.971389998979595
"188","Jalen McDaniels",0.0481996197528056,1930681,78,3.08489518193578,"SF",0.524519901354388
"196","Keldon Johnson",0.0387340037008592,3873024,61,4.89366136986299,"SF",0.309729967862709
"200","Doug McDermott",-0.0276677287587803,13750000,63,2.0463024311444,"SF",-1.19703130583225
"204","Michael Porter Jr.",-0.00363251712344681,30913750,62,4.34297034437662,"SF",-0.651633998326826
"209","Bruce Brown",0.0728355504741018,6479000,80,4.22790167865097,"SF",1.08354848355055
"227","Simone Fontecchio",-0.000370059922368604,3205128,52,0.814914720118856,"SF",-0.577603638190367
"230","Reggie Bullock Jr.",0.0135539149011263,10012800,78,2.26408434619348,"SF",-0.261646429503109
"235","Tim Hardaway Jr.",0.0117840732168362,19602273,71,3.68666123950621,"SF",-0.301806961641036
"238","Mikal Bridges",0.0384373094763599,20100000,82,7.2941018807141,"SF",0.302997502442831
"249","Josh Hart",0.010486319702842,12960000,76,4.54143847191986,"SF",-0.331255059834507
"256","Nassir Little",-0.0103983181046782,4171548,54,1.27670044231507,"SF",-0.805160819486849
"273","Jordan Nwora",0.0252950386730066,2800000,62,2.04736736460779,"SF",0.00477840541940684
"274","Wesley Matthews",0.0192272668262607,2905851,52,0.612326258718892,"SF",-0.132909020761083
"276","Paul George",-0.000197800047857966,42492492,56,5.59605816915675,"SF",-0.573694786744632
"285","Kawhi Leonard",0.00451913827021788,42492492,52,5.93297055412564,"SF",-0.466659928995935
"288","Joe Harris",-0.00283029177671179,18642857,74,2.08613433961631,"SF",-0.633430225014562
"296","Lamar Stevens",0.0137209419279958,1782621,62,1.25319662095409,"SF",-0.257856319720954
"301","MarJon Beauchamp",0.0144132113617921,2485200,52,0.701033632349645,"SF",-0.242147621541414
"305","Amir Coffey",-0.00629164587239806,3395062,50,0.465811337399548,"SF",-0.711973873090244
"306","Keegan Murray",0.00510953280443571,8008440,80,4.08465125772022,"SF",-0.453262934860258
"308","Troy Brown Jr.",0.0821026267602476,1968175,76,2.34533160041256,"SF",1.29383323292555
"309","AJ Griffin",0.0272445652807622,3536160,72,2.3525882049969,"SF",0.0490162752127817
