name,22.23_salary
Justin Lewis,"$102,363 "
Lindell Wigginton,"$99,438 "
Jordan Schakel,"$96,514 "
Demetrius Jackson,"$92,857 "
Stanley Umude,"$58,493 "
Jeenathan Williams,"$52,644 "
DJ Steward,"$50,000 "
Armoni Brooks,"$50,000 "
Jay Scrubb,"$49,719 "
Justin Minaya,"$35,096 "
Kobi Simmons,"$32,795 "
Gabe York,"$32,171 "
Ibou Badji,"$18,226 "
Tristan Thompson,"$16,700 "
RaiQuan Gray,"$5,849 "
Jacob Gilyard,"$5,849 "
